number,easychair,date,authors,title,advertisement,abstract,location
311,775,3/14/2020,Alexandra Gendreau Chakarov; Quentin Biddy; Derek Runberg,Using sensor technologies to introduce middle school students to computational thinking and computer science,"<p>Bring computational thinking and middle school science to life with micro:bit, sensor technologies including temperature, sound, humidity, carbon dioxide, and soil moisture, and block based programming. Learn how to use these tools to make the invisible visible by collecting and visualizing data in real time through simple investigations such as measuring air quality and noise levels. No prior programming experience necessary. 
Participants will gain hands on experience working with the micro:bit, gator:bit, and alligator clippable sensors through the creation of a data visualizations using real time data collected using the sensors.
In addition to creating and programming their own real time data visualizations, participants will be given access to a tested curriculum, making it easy to implement these ideas in the classroom immediately.
The materials are targeted at middle school students, but could work with students in grades 4-10. </p>
<p>Equipment Required. Participants must bring a laptop or equipment.</p>","<p>This workshop will explore using school-based sensor technologies to bring computational thinking into middle school science and integrated STEM courses. Participants will learn how to introduce students to sensor technologies and support their understanding of how to use sensor technologies to ""make the invisible, visible."" We will use the sensor technologies to conduct a variety of short, real-world investigations, such as measuring air quality and noise levels using the available sensors. Teachers will largely play the role of students as they learn to program the sensor technologies, gather and analyze data, and create displays to share their findings. The workshop will use an open-access, one-week sensor immersion curriculum, and ideas for improvements will be solicited from by the group. No prior experience using sensor technologies or programming is needed.</p>",C125
0,,3/14/2020,3:30 PM - 6:30 PM,Saturday Workshops,,,
401,836,3/14/2020,Barbara Ericson; Bradley Miller,Using and Customizing Open-Source Runestone Free Ebooks for Computer Science Classes,"<p>Come learn about many free interactive ebooks on the open-source Runestone Interactive platform that can be used in high school (AP CSP and AP CSA) or college computing courses (CS1, CS2, data science, and web programming). These ebooks include executable code and a wide variety of practice problems. You can create a custom course from any of the existing ebooks and then track your student's progress. You can create and grade assignments. You can require spaced practice. Students enjoy using the ebooks. They appreciate the immediate feedback and the variety of practice problems.</p>","<p>Runestone Interactive is an open-source ebook platform designed to create and publish free interactive computer science textbooks. (See http://runestoneinteractive.org). Runestone ebooks support programming within the browser, code visualization/stepping, and a wide variety of practice activities, including multiple choice, fill-in-the-blank, clickable-code, and mixed-up code (Parsons problems). Free textbooks have been created for CS1, CS2, web development, data science, and AP CS (both courses). The presenters have several years of experience creating and using Runestone ebooks. Several studies have demonstrated good usability and positive learning and attitude impacts on students using these ebooks. Runestone ebooks can be customized to meet the needs of individual courses and teachers. Over 25,000 people a day use Runestone ebooks.</p>
<p>The goal of this workshop is to introduce computer science teachers (both secondary and post- secondary) to Runestone ebooks. The hands-on session will start by leading participants through use of the ebooks as if they were students. Participants will be introduced to the interactive features of the ebooks. Participants will next create a custom course from an existing ebook in the library and will use the instructor's dashboard to review student activity, modify the course, grade students, and set up a practice tool. Participants will create their own assignments using existing active learning components. Participants will also be shown how to create new material for assignments, such as multiple-choice questions for a quiz.</p>",C120
402,823,3/14/2020,Stan Kurkovsky; Stephanie Ludi,Active Learning with LEGO for Teaching Software Development,"<p>This workshop is intended for faculty teaching undergraduate and graduate courses focusing on software development, software engineering, and related concepts. This workshop will also benefit other educators looking for ways to supplement their courses with engaging and playful hands-on activities aimed to strengthen the teamwork, oral communication, problem solving, and design skills of students. 
Participants will participate in several LEGO activities that focus on iterative software processes, interfaces and integration, and distributed software engineering.
Participants will learn how LEGO can be used as an active learning tool to facilitate teaching software engineering.
Many relevant resources are located at <a href=""https://web.ccsu.edu/lego-se/"">https://web.ccsu.edu/lego-se/</a>.</p>
<p>Equipment Not Required. Participants do not need any equipment.</p>","<p>LEGO is a construction toy familiar to many students. Creating software, regardless of scale, is often similar to building with tangible objects, such as houses or bridges--an analogy that is often used in the classroom. In this workshop, we will show how to use LEGO as an engaging medium to introduce students to concepts of iterative development, software interfaces, team velocity, and distributed software projects. LEGO-based analogies and case studies enacted as hands-on exercises for student teams help develop a better understanding of the underlying concepts, while keeping students deeply engaged in the course material.</p>
<p>This workshop is intended for faculty teaching undergraduate and graduate courses focusing on software development, software engineering, and related concepts. This workshop will also benefit other educators looking for ways to supplement their courses with engaging and playful hands-on activities aimed to strengthen the teamwork, oral communication, problem solving, and design skills of students.</p>
<p>We will practice several hands-on LEGO-based activities during the workshop. Specific topics of these activities will include change management and object-oriented interfaces, as well as activities specific to the phases of software development. Workshop participants will learn about other LEGO-based activities that focus on a broad range of topics including requirements engineering, architectural design, and software dependability. A laptop is not required for this workshop. This work is supported in part by the National Science Foundation Awards 1611905, 1709244 and a 2015 ACM SIGCSE Special Project grant. For more information visit <a href=""http://www.cs.ccsu.edu/~stan/sigcse2020/"">http://www.cs.ccsu.edu/~stan/sigcse2020/</a>.</p>",C122
403,752,3/14/2020,Celine Latulipe; Tonya Frevert; Sarah Provencal,Challenging Social Exclusion in Computing via 'Theatre of the Oppressed' Pedagogy,"<p>Come and rehearse social change! In this workshop, you will have the opportunity to experience a participatory 'Exclusion Response Workshop' based on Augusto Boal's Theatre of the Oppressed methodology. This workshop is designed to help post-secondary CS students openly talk about difficult issues around diversity and inclusion in a way that is engaging and fun. You don't need any prior knowledge or theatre experience and you don't need to bring anything except yourself dressed in comfortable clothes (lots of movement). Faculty, administrators, and students are all welcome.</p>","<p>Micro-aggressions, hostile climates, and intersectional discrimination contribute to students feeling excluded from fully participating in Computer Science or other STEM programs. To address this exclusion, students need to empathize with each other, and for that we need them to be having frank, open conversations about difficult situations. This is hard to achieve, as people do not typically want to talk about difficult situations with strangers. Computer Science faculty may shy away from these difficult conversations, as they may feel they lack the expertise to address social issues effectively. </p>
<p>To address this issue, we have been conducting 'Exclusion Response Workshops' based on the 'Theatre of the Oppressed' methodology of rehearsing social change. This involves students anonymously contributing scenarios of micro-aggressions they have experienced or witnessed and then roleplaying alternate outcomes. These workshops create an empathetic environment for frank and open discussion of difficult issues. We have been scaling this effort by conducting workshops with all freshmen and transfer students in our College of Computing and Informatics. In this SIGCSE workshop, attendees will participate in an Exclusion Response Workshop, then have an open discussion about the workshop experience, workshop logistics, and pros and cons of running this workshop as a mandatory class activity versus a voluntary activity. Participants will learn about the workshop structure, and the Theatre of the Oppressed methodology. This workshop is a taste of a 3-day, train-the-trainer workshop that we will be conducting at our institution in May 2020. This work is supported by NSF IUSE/RED Award #151960.</p>",C125
404,181,3/14/2020,Denise M. Case; Colton Steeve; Matthew Woolery,"Progressive Web Apps are a Game-Changer! Use active learning to engage students and convert any website into a mobile-installable, offline-capable, interactive app","<p>Come learn about progressive web apps and how powerful technologies are changing the game in application design and development! In this workshop, you'll learn computer science teaching techniques to engage students using some of the most modern and in-demand skills, languages, and techniques! Learn how to take an existing web site and upgrade it into an app that users can keep close at hand and access even while offline. Learn the power of service workers and smart caching, while teaching event-driven, functional, and asynchronous development in one of the most popular languages. You must have a laptop (not a tablet) and be able to download and create and edit files on your laptop.</p>","<p>Learn how to design and create powerful new progressive web apps (PWA)! We'll introduce the computer science principles that enable modern web sites to be converted into installable apps. We'll start with an engaging web site (built with HTML/CSS/JavaScript) and show in just two easy steps, how to create an engaging app that can be installed on mobile devices, including Android phones, iPhones, iPads, tablets, and more. We'll illustrate the principles by converting an open source, cloud-hosted client-side app. We'll talk about manifest files and JSON, then introduce the powerful new service workers and JavaScript. We'll use Google's free Workbox libraries and show how PWA enable up web apps to interact with device APIs and alter requests before and after sending. You can easily install (and uninstall) the apps - and even use an app while your device is offline. We'll show how engaging tools like Lighthouse provide critical feedback on performance, accessibility, best practices, and more. As a bonus, we'll provide a PWA syllabus that you can customize to your courses. Skills for developing these apps are in demand, and quite accessible to students.</p>",B110
405,63,3/14/2020,David Largent; Christian Roberson,Transform Your Computer Science Course with Specifications Grading,"<p>Are you tired of spending time dealing with students who complain over fractions of points? What if there was a better way to do grading that actually measured student learning outcomes, caused less arguments, and took less time? Well, there is, and it's called specifications grading.</p>
<p>This workshop will explain what specifications grading is and give you an opportunity to apply these techniques to the actual computer science courses you teach. Although the presenters come from higher education, the concepts presented in this workshop are applicable for you, whether you are a middle school, high school, or university teacher.
Please bring one or more of your current syllabi and/or assignment instructions with you to this interactive workshop. You will leave the workshop with a plan to modify at least one of your courses. </p>
<p>You will also receive access to a set of handouts and sample materials created by the presenters. </p>
<p>Equipment Recommended. It is recommended, but not required, that participants bring a equipment.</p>","<p>As proposed by Linda B. Nilson in ""Specifications Grading: Restoring Rigor, Motivating Students, and Saving Faculty Time"", specifications grading is an assessment construct that relies on pass/fail grading of assignments and assessments, the structuring of course content into modules linked to learning outcomes, and the bundling of assignments and assessments within those modules. One of the intentions of this type of course grading construct is to more closely align assessment with student attainment of intended learning outcomes. While there has been very visible work in incorporating specifications grading in some academic areas (e.g. in mathematics), examples of the use of specifications grading in computer science courses are less common. The goal of this workshop is to introduce the concepts of specifications grading, explain how to apply these concepts to a wide range of computing courses, and have the participants apply these concepts to one of their current or upcoming computer science courses. Each participant should leave the workshop with at least one revised course syllabus or assignment that incorporates specifications grading.</p>",B112
407,814,3/14/2020,Valerie Tomici,Teach Girls To Code and Change the World,"<p>Educators are invited to join the movement to close the gender gap in tech by bringing free STEM curriculum and activities to girls. During this presentation, we will feature Girls Who Code Clubs, which are completely free after-school programs for 3rd-5th or 6th-12th grade girls.
Together, we will discuss how to start a free Girls Who Code Club, participate in hands-on activities that you can walk away with, and engage in a design thinking activity to help you bring code and gender equity to your community. 
Participants will leave the workshop feeling inspired to change the image of what a computer scientist looks like and feel prepared to bring exciting STEM resources back to their communities. 
Girls Who Code has served over 185,000 students across the U.S. and Canada since launching in 2012. Our alumni major in Computer Science and related fields at a rate 15 times higher than the national average. </p>
<p>Equipment Optional. It is not necessary for participants to bring equipment.</p>","<p>At Girls Who Code, we believe that all girls are capable of making a positive impact on the world through computer science. That is why we are leading the movement to close the gender gap in technology and change the image of what a programmer looks like and does. Join us to learn more about how to encourage girls in your community to connect their new coding skills and confidence with real world problems they care about!</p>
<p>During this presentation, we will be featuring our Girls Who Code Clubs, which are completely free after-school programs for 3rd-5th or 6th-12th grade girls to join a sisterhood of supportive peers and role models and use computer science to change the world. Through fun and interactive curricula, Club girls not only learn about how to positively impact their community through code, but they also are taught to be brave and resilient -- which has an enormous impact on how they approach challenges and whether they stick with coding in the years to come.</p>
<p>Together, we will discuss how to start a Girls Who Code Club, participate in hands-on activities that you can walk away with, and engage in a design thinking activity to help you bring code and gender equity to your community. We hope you will join us in our movement to close the gender gap in technology!</p>",B115
408,806,3/14/2020,Anthony Suen; Eric Van Dusen; Cathryn Carson; David Culler,Innovation in Undergraduate Data Science Education,"<p>Participants will learn about innovative ways of teaching Data Science, in a broad set of domain applications, using open source tools. 
Highlights will include engaging a diverse set of students, integrating ethical content into the curriculum, and adopting across a diverse set of institutions. 
A participant will learn about a vision for an inclusive data science curriculum, that is growing rapidly in scope and geography. 
This workshop, presented by staff and faculty from UC Berkeley's data science program, will guide participants through a menu of tested innovations that can enable the teaching of undergraduate data science to thousands of students from all backgrounds. It gives participants insight into and experience with the pioneering ""Foundations of Data Science"" (data8.org) course, which teaches computational and statistical concepts by leveraging real world data and is open to students from any major with no math or programming prerequisites, as well as other elements of Berkeley's curriculum that engage students across the disciplines. Specific topics that the workshop will cover include 1) Pedagogical decisions and assumptions in the Data 8 class, 2) Illustrations of domain specific applications of data science teaching approaches (connector courses, shorter modules) in non-CS classes across disciplines, 3) Integration of human contexts and ethics into the curriculum, 4) Teaching using a cloud-based server (Jupyterhub) and deploying open source cloud based cyber-infrastructure, 5) involvement of undergraduate students in curriculum development, teaching, and program development, and 6) Case studies from other colleges and universities and an emerging community of practice. Goals include engaging students in learning through real-world examples, increasing diversity among students learning computer science, giving students a strong ethical foundation within their computer science work, and encouraging critical thinking in the application of inference and statistical techniques. </p>
<p>Equipment Recommended. It is recommended, but not required, that participants bring equipment.</p>","<p>The workshop will allow participants to gain experience with a series of innovations developed at UC Berkeley that have enabled the teaching of undergraduate data science at scale to students from all backgrounds. Rather than beginning with established introductory strategies as the gateway to computer science, students in the ""Foundations of Data Science"" (Data 8) learn computational skills and concepts in relation to real world issues and with attention to societal implications. By engaging with students' interest in the applications of computing on data, and integrating societal impact from the start, the program has developed long term commitment to advance computational skills for large numbers of students. These innovations in teaching not only convey important computational content, but also broaden participation beyond existing approaches to computer science, and integrate issues of human contexts and ethics throughout the full curriculum. Goals include increasing diversity among students learning computer science, giving students a strong ethical foundations within their computer science work, and encouraging critical thinking in the application of inference and statistical techniques.</p>",D133
409,811,3/14/2020,Ryan Torbey; Carol Fletcher; Joshua Childs; Monica McGill,Modifying Existing Evaluation Instruments to Fit Your CS Research Needs,"<p>Have a CS education research project that needs instrumentation? This session is for you! Come learn how to find, remix, and use existing instruments by delving into the process of taking openly shared resources and repurposing them for your projects.</p>","<p>Developing your computer science education research evaluation instruments from scratch may be no longer necessary thanks to the growing catalog of instruments curated by csedresearch.org. This workshop will teach participants how to find, remix, and use existing instruments by delving into the process of taking openly shared resources and repurposing them for your projects. In addition to discussing the importance of using instruments that have been shown to have evidence of reliability and validity, the team from The University of Texas at Austin will discuss how they amended existing surveys and interview protocols to develop tools customized to their needs for their NSF-funded CSforAll Research Practitioner Partnership. Workshop participants will break into groups and be given extensive time to review and revise research instruments. Key takeaways from this workshop will be the steps you need to take to choose an instrument based on your research question and study design, the role that validity and reliability play in instrument design, how to make modifications to an instrument (if needed) to better address your research question, and how to add your instruments to the <a href=""http://csedresearch.org"">csedresearch.org</a> site.</p>",D136
410,858,3/14/2020,Michael Ball; Lauren Mock; Dan Garcia; Tiffany Barnes; Marnie Hill; Alexandra Milliken; Joshua Paley; Efrain Lopez III; Jason Bohrer,The Beauty and Joy of Computing Curriculum and Teacher Professional Development,"<p>This workshop is intended for current AP CS Principles teachers using the Beauty and Joy of Computing Curriculum. The intended goals are to learn about and reflect on the updates of the AP CSP course, as well as discussion about updates and changes to the BJC Professional Development for 2020. 
The highlights include review of the new BJC curriculum and the Teacher Guide that has been endorsed by the College Board for 2020. 
Participants will learn about how the BJC 2020 curriculum correlates with the new Big Ideas, Computational Thinking Practices and Skills, and Enduring Understandings.
This is intended for those who are currently teaching AP CSP using the BJC curriculum. </p>
<p>Equipment Recommended. It is recommended, but not required, that participants bring equipment.</p>","<p>The Beauty and Joy of Computing (BJC) is a CS Principles (CSP) course developed at UC Berkeley, intended for high school juniors through university non-majors. It was twice chosen as a CSP pilot, and both the College Board and code.org have endorsed it. Since 2011, we have offered professional development to over 600 high school teachers. Through partnerships with EDC (Education Development Center), the New York City Department of Education, and CSNYC, our NSF-funded BJC4NYC project will be bringing BJC to 100 high school teachers in New York City, the largest and one of the most diverse school districts in the country. Our guiding philosophy is to meet students where they are, but not to leave them
there. It covers the big ideas and computational thinking practices required in the AP CSP curriculum framework using an easy-to-learn blocks-based programming language called Snap! (based on Scratch), and powerful computer science ideas like recursion, higher-order functions and computability. Through the course, students learn to create beautiful images, and realize that code itself can be beautiful. Having fun is an explicit course goal. We take a ""lab-centric"" approach, and much of the learning occurs through guided programming labs that ask students to explore and play. In this workshop, we will provide an overview of BJC, share our experiences as instructors of the course at the university and high school level, provide a glimpse into a typical week of the course, and share details of potential crowd-funded summer professional development opportunities.</p>",E145
